Temperatur (°C),Kelembapan (%),Kecepatan Angin (km/jam),Karbon Monoksida (ppm),Nitrogen Dioksida (ppb),PM2.5 (µg/m³),Kategori Kualitas Udara
27.6,60.3,7.2,4.94,17.9,93.1,Unhealthy
29.1,77.9,9.8,3.89,57.0,105.1,Hazardous
24.5,81.6,0.3,2.19,46.4,120.5,Hazardous
24.0,61.8,6.9,0.88,64.1,79.8,Unhealthy
34.1,79.6,9.2,4.0,46.4,22.2,Good
36.8,74.1,6.3,3.01,69.7,85.2,Unhealthy
29.6,78.2,14.9,2.41,48.6,92.2,Unhealthy
35.0,89.0,5.7,4.58,49.3,114.4,Hazardous
31.8,67.5,8.7,1.0,71.4,70.4,Unhealthy
26.8,62.5,10.4,2.72,38.2,27.9,Good
31.8,61.1,14.3,0.55,19.4,49.7,Moderate
37.7,61.8,5.7,2.61,12.0,60.8,Unhealthy
29.8,69.2,13.5,0.75,62.9,100.4,Hazardous
37.8,73.4,10.0,1.03,53.4,89.9,Unhealthy
16.9,72.8,7.1,1.03,59.3,59.9,Moderate
34.1,78.3,11.4,3.42,24.9,148.1,Hazardous
30.4,70.1,10.6,3.86,19.5,94.8,Unhealthy
28.5,84.5,8.2,3.13,11.0,43.2,Moderate
30.5,67.4,10.2,4.83,34.5,24.2,Good
20.1,97.2,8.8,2.19,51.3,31.4,Moderate
28.9,76.3,10.3,1.79,37.5,44.4,Moderate
31.8,61.4,12.0,4.41,40.6,32.5,Moderate
37.4,59.3,14.8,1.51,73.3,36.1,Moderate
27.4,74.8,6.3,4.83,34.4,49.9,Moderate
26.0,67.8,16.4,0.55,46.0,34.3,Moderate
27.5,77.1,4.1,4.86,64.9,135.5,Hazardous
34.6,74.7,9.5,0.69,37.8,21.2,Good
31.6,69.3,11.8,4.51,53.5,83.4,Unhealthy
27.4,61.5,10.8,2.87,70.4,67.5,Unhealthy
32.6,54.9,8.1,4.97,76.5,147.5,Hazardous
30.5,65.5,9.4,0.83,20.3,25.7,Good
34.8,78.6,8.5,2.99,74.9,65.7,Unhealthy
26.5,72.1,8.2,4.86,44.4,145.7,Hazardous
28.4,57.5,12.5,2.85,28.1,131.2,Hazardous
28.0,71.7,11.1,3.33,42.1,124.4,Hazardous
22.7,73.9,7.9,3.63,78.6,46.1,Moderate
31.5,61.2,12.7,2.55,44.5,33.9,Moderate
31.3,71.5,10.9,3.32,33.0,103.6,Hazardous
30.0,70.6,12.4,3.13,54.3,140.1,Hazardous
28.8,58.6,11.9,4.56,26.8,87.9,Unhealthy
